ID,חברה,מס' אתר,עיר,כתובת האתר,רשות מקומית,תחום שיפוט,X_ITM,Y_ITM,סוג אתר,תאריך היתר הקמה,תאריך היתר הפעלה,בדיקה תקופתית אחרונה,היתר קרינה,עוצמה מרבית תיאורטית בµW לסמר,העוצמה ביחס לסף הבריאותי [%],תאור נקודה בה התקבלה תוצאה מירבית,קובץ הקמה,קובץ הפעלה,טכנולוגיית שידור
5744,PHI (משרת את הוט ופרטנר),WE3730B,יהוד,וייצמן 23,עירית יהוד,יהוד מונוסון,189890,659786,מתקן גישה אלחוטי,10/05/2018,01/02/2023,02/01/2024,יש היתר,50.78,6.04,רמה זו צפויה במבנה מגורים יהודה הלוי 40 קומה 7 במרחק 24 מטר,http://documents.sviva.gov.il/B001_1_WE3730B_20180510_1506.pdf,http://documents.sviva.gov.il/B002_1_WE3730B_20230201_1045.pdf,דור 2 3 4
5745,PHI (משרת את הוט ופרטנר),WE0783A,רמלה,תחנת דלק פז כביש 44,עירית רמלה,רמלה,188278,648853,תורן על הגג,28/07/2024,02/03/2023,02/01/2024,יש היתר,5.41,1.22,קומה מתחת במרחק 15 מטר,http://documents.sviva.gov.il/B001_1_WE0783A_20240728_1016.pdf,http://documents.sviva.gov.il/B002_1_WE0783A_20230302_1621.pdf,דור 2 3 4
5746,PHI (משרת את הוט ופרטנר),EA2066H,אדרת,אדרת,מ.א מטה יהודה,אדרת,199400,619071,תורן קרקעי,03/11/2022,14/03/2023,02/01/2024,יש היתר,1.32,0.24,רמה זו צפויה בבתי קרקע במרחק 98 מטר,http://documents.sviva.gov.il/B001_1_EA2066H_20221103_1148.pdf,http://documents.sviva.gov.il/B002_1_EA2066H_20230314_1333.pdf,דור 2 3 4
5747,PHI (משרת את הוט ופרטנר),WE3140H,גבעתיים,רח` אהרן גולדשטיין  גבעתיים,עירית גבעתיים,גבעתיים,182181,665139,מתקן גישה אלחוטי,28/11/2022,15/03/2023,02/01/2024,יש היתר,28.97,4.2,ברח` בורוכוב 53 - מבנה מגורים - קומה 3 במרחק 0.00 מטר,http://documents.sviva.gov.il/B001_1_WE3140H_20221128_1022.pdf,http://documents.sviva.gov.il/B002_1_WE3140H_20230315_1648.pdf,דור 3 4
5748,PHI (משרת את הוט ופרטנר),WI3463A,יהוד,משה דיין קריית סביונים,עירית יהוד,יהוד מונוסון,188640,659730,אתר זעיר פנימי,19/05/2014,09/01/2024,02/01/2024,יש היתר,36.52,5.59,מפלס הרצפה,http://documents.sviva.gov.il/B001_1_WI3463A_20140519_1038.pdf,http://documents.sviva.gov.il/B002_1_WI3463A_20240109_1001.pdf,דור 3 4
5749,PHI (משרת את הוט ופרטנר),EA2084E,ירושלים,בזק איתנים,עירית ירושלים,מטה יהודה,209324,631641,תורן קרקעי,07/07/2024,10/01/2024,02/01/2024,יש היתר,2,0.32,מבנה משרדי התחנה במרחק 13 מטר,http://documents.sviva.gov.il/B001_1_EA2084E_20240707_1003.pdf,http://documents.sviva.gov.il/B002_1_EA2084E_20240110_0931.pdf,דור 2 3
5750,PHI (משרת את הוט ופרטנר),WI0349B,באר יעקב,בית חולים אסף הרופא צריפין,מ.מקומית באר יעקב,באר יעקב,185105,652734,אתר זעיר פנימי,28/11/2012,20/12/2022,03/01/2024,יש היתר,30.81,5.69,מפלס הרצפה,,http://documents.sviva.gov.il/B002_1_WI0349B_20221220_0904.pdf,דור 3
5751,PHI (משרת את הוט ופרטנר),WE3974B,ניר צבי,א.תעשיה ניר צבי,מ.א עמק לוד,עמק לוד,186943,651890,מתקן גישה אלחוטי,18/07/2018,21/02/2023,03/01/2024,יש היתר,47.05,6.8,רמה זו צפויה בקומה מתחת - משרדים במרחק 2 מטר,http://documents.sviva.gov.il/B001_1_WE3974B_20180718_1323.pdf,http://documents.sviva.gov.il/B002_1_WE3974B_20230221_0937.pdf,דור 3 4
5752,PHI (משרת את הוט ופרטנר),WM0888B,עץ אפרים,עץ אפרים רחוב הדקל 16,מ.א שומרון,עץ אפרים,204520,669488,מתקן גישה אלחוטי,21/05/2018,27/02/2023,03/01/2024,יש היתר,50.35,6.03,רמה זו צפויה בדקל 14 - בית פרטי במרחק .27.5 מטר,http://documents.sviva.gov.il/B001_1_WM0888B_20180521_0906.pdf,http://documents.sviva.gov.il/B002_1_WM0888B_20230227_1250.pdf,דור 2 3 4
5753,PHI (משרת את הוט ופרטנר),WE3530C,הוד השרון,מגדיאל 59 הוד השרון,עירית הוד השרון,הוד השרון,190869,674052,מתקן גישה אלחוטי,31/01/2018,27/02/2023,03/01/2024,יש היתר,32,3.85,רמה זו צפויה בדרך מגדיאל 63 במרחק 36 מטר,http://documents.sviva.gov.il/B001_1_WE3530C_20180131_0942.pdf,http://documents.sviva.gov.il/B002_1_WE3530C_20230227_1247.pdf,דור 3 4
5754,PHI (משרת את הוט ופרטנר),WE3727C,הוד השרון,עמוד תאורה אסירי ציון הנשיאים.,עירית הוד השרון,הוד השרון,191341,674550,תורן קרקעי,27/09/2023,27/02/2023,03/01/2024,יש היתר,25.26,2.9,מגדל מגורים בסתיו 7 במרחק 112 מטר,http://documents.sviva.gov.il/B001_1_WE3727C_20230927_0943.pdf,http://documents.sviva.gov.il/B002_1_WE3727C_20230227_1248.pdf,דור 2 3 4
